No,Preprocessed Violent toxic words,Sentiment Value
4217,grievances,Positive
4218,grieve,Positive
4219,grieving,Positive
4220,grievous,Positive
4221,grievously,Positive
4222,grim,Positive
4223,grimace,Positive
4224,grin,Positive
4225,grind,Positive
4227,gripe,Positive
4228,gripes,Positive
4229,grisly,Positive
4230,grit,Positive
4231,gritty,Positive
4233,grok,Positive
4234,groom,Positive
4235,groovy,Positive
4238,grossly,Positive
4240,grotesque,Positive
4241,grouch,Positive
4242,grouchy,Positive
4243,ground-breaking,Positive
4244,grounded,Positive
4245,groundless,Positive
4247,grouse,Positive
4248,grow,Positive
4249,growing,Positive
4250,growl,Positive
4251,grown,Positive
4252,growth,Positive
4253,grudge,Positive
4254,grudges,Positive
4255,grudging,Positive
4256,grudgingly,Positive
4257,gruesome,Positive
4258,gruesomely,Positive
4259,gruff,Positive
4260,grumble,Positive
4261,grumpier,Positive
4262,grumpiest,Positive
4263,grumpily,Positive
4264,grumpy,Positive
4267,guarantee,Positive
4268,guaranteed,Positive
4269,guard,Positive
4271,guerdon,Positive
4272,guest,Positive
4273,guffaw,Positive
4274,guidance,Positive
4275,guide,Positive
4278,guile,Positive
4279,guileless,Positive
4280,guilt,Positive
4281,guilt-free,Positive
4282,guiltily,Positive
4283,guiltless,Positive
4284,guilty,Positive
4285,gullible,Positive
4287,gumption,Positive
4288,gumptious,Positive
4291,guru,Positive
4292,gush,Positive
4293,gusher,Positive
4294,gushy,Positive
4295,gussy,Positive
4296,gusto,Positive
4297,gutless,Positive
4298,guts,Positive
4299,gutsy,Positive
4300,gutter,Positive
4301,guttergawky,Positive
4302,gutty,Positive
4304,gymnastic,Positive
4318,habitable,Positive
4319,hack,Positive
4320,hacks,Positive
4321,haecceity,Positive
4322,haere,Positive
4323,haggard,Positive
4324,haggle,Positive
4325,haha,Positive
4326,hail,Positive
4327,halcyon,Positive
4328,hale,Positive
4329,halfhearted,Positive
4330,halfheartedly,Positive
4331,half-price,Positive
4332,hall,Positive
4333,hallelujah,Positive
4334,hallmark,Positive
4335,hallmarks,Positive
4336,hallow,Positive
4337,hallowed,Positive
4338,hallucinate,Positive
4339,hallucination,Positive
4340,halo,Positive
4343,hamper,Positive
4344,hampered,Positive
4346,handclap,Positive
4347,handicapped,Positive
4348,handily,Positive
4350,handle,Positive
4351,handout,Positive
4352,hand-pick,Positive
4353,hand-picked,Positive
4354,hands-down,Positive
4355,handsel,Positive
4356,handshake,Positive
4357,handsome,Positive
4358,handsomely,Positive
4359,handsomeness,Positive
4360,handy,Positive
4361,hang,Positive
4362,hang-out,Positive
4363,hangs,Positive
4364,hansel,Positive
4366,haphazard,Positive
4367,hapless,Positive
4368,happening,Positive
4369,happily,Positive
4370,happiness,Positive
4371,happy,Positive
4372,happy-go-lucky,Positive
4373,harangue,Positive
4374,harass,Positive
4375,harassed,Positive
4376,harasses,Positive
4377,harassment,Positive
4378,harboring,Positive
4379,harbors,Positive
4382,hardball,Positive
4385,harden,Positive
4386,hardened,Positive
4388,hardheaded,Positive
4389,hardhearted,Positive
4390,hard-hearted,Positive
4391,hard-hit,Positive
4392,hard-hitting,Positive
4393,hardihood,Positive
4394,hardliner,Positive
4395,hard-liner,Positive
4396,hardliners,Positive
4398,hardship,Positive
4399,hardships,Positive
4400,hard-wearing,Positive
4401,hard-working,Positive
4402,hardy,Positive
4403,hare,Positive
4405,harm,Positive
4406,harmed,Positive
4407,harmful,Positive
4408,harmless,Positive
4409,harmonious,Positive
4410,harmoniously,Positive
4411,harmonizable,Positive
4412,harmonize,Positive
4413,harmony,Positive
4414,harms,Positive
4415,harpy,Positive
4416,harridan,Positive
4417,harried,Positive
4418,harrow,Positive
4419,harsh,Positive
4420,harshly,Positive
4421,hassle,Positive
4422,hassled,Positive
4423,hassles,Positive
4424,haste,Positive
4425,hastily,Positive
4426,hasty,Positive
4427,hate,Positive
4428,hated,Positive
4429,hateful,Positive
4430,hatefully,Positive
4431,hatefulness,Positive
4432,hater,Positive
4433,haters,Positive
4434,hates,Positive
4435,hating,Positive
4436,hatred,Positive
4437,haughtily,Positive
4438,haughty,Positive
4439,haunt,Positive
4440,haunting,Positive
4441,haute-couture,Positive
4442,haut-monde,Positive
4443,have,Positive
4444,haven,Positive
4445,havoc,Positive
4446,hawk-eyed,Positive
4447,hawkish,Positive
4448,hayride,Positive
4449,haywire,Positive
4450,hazard,Positive
4451,hazardous,Positive
4452,haze,Positive
4453,hazy,Positive
4455,head,Positive
4456,headache,Positive
4457,headaches,Positive
4458,head-aches,Positive
4461,head-turning,Positive
4462,headway,Positive
4463,heady,Positive
4464,heal,Positive
4465,healing,Positive
4466,health,Positive
4467,health-food,Positive
4468,healthful,Positive
4469,healthy,Positive
4470,heart,Positive
4471,heartbreaker,Positive
4472,heartbreaking,Positive
4473,heartbreakingly,Positive
4474,hearten,Positive
4475,heartening,Positive
4476,heartfelt,Positive
4477,heartily,Positive
4478,heartless,Positive
4479,heart-throb,Positive
4480,heart-to-heart,Positive
4481,heart-warming,Positive
4482,hearty,Positive
4483,heathen,Positive
4484,heaven,Positive
4485,heavenly,Positive
4486,heaven-sent,Positive
4487,heavy-handed,Positive
4488,heavyhearted,Positive
4489,heavyweight,Positive
4491,heck,Positive
4492,heckle,Positive
4493,heckled,Positive
4494,heckles,Positive
4495,hectic,Positive
4496,hedge,Positive
4497,hedonism,Positive
4498,hedonistic,Positive
4500,heed,Positive
4501,heedful,Positive
4502,heedless,Positive
4503,hefty,Positive
4504,hegemony,Positive
4505,heigh,Positive
4506,heighten,Positive
4507,heinous,Positive
4509,hell-bent,Positive
4510,hellion,Positive
4511,hello,Positive
4512,hells,Positive
4513,help,Positive
4514,helped,Positive
4515,helper,Positive
4516,helpful,Positive
4517,helpfully,Positive
4518,helpfulness,Positive
4519,helping,Positive
4520,helpless,Positive
4521,helplessly,Positive
4522,helplessness,Positive
4523,helpmate,Positive
4525,he-man,Positive
4528,hen-night,Positive
4529,hen-party,Positive
4531,hep,Positive
4532,hepcat,Positive
4533,herald,Positive
4534,heralded,Positive
4535,heresy,Positive
4536,heretic,Positive
4537,heretical,Positive
4538,hermetic,Positive
4539,hero,Positive
4540,heroes,Positive
4541,heroic,Positive
4542,heroically,Positive
4544,heroine,Positive
4545,heroism,Positive
4546,heroize,Positive
4551,hesitant,Positive
4553,heterosis,Positive
4554,heuristic,Positive
4555,hickey,Positive
4556,hidalgo,Positive
4557,hideous,Positive
4558,hideously,Positive
4559,hideousness,Positive
4560,hiero,Positive
4561,hi-fi,Positive
4562,high,Positive
4563,high-calibre,Positive
4564,high-class,Positive
4565,high-day,Positive
4566,high-demand,Positive
4567,highly,Positive
4568,highly-regarded,Positive
4569,highly-seasoned,Positive
4570,highly-valued,Positive
4571,high-minded,Positive
4572,high-powered,Positive
4573,high-priced,Positive
4574,high-priority,Positive
4575,high-quality,Positive
4576,high-reaching,Positive
4577,high-road,Positive
4578,high-spirited,Positive
4579,high-spiritedness,Positive
4580,high-spirits,Positive
4581,high-spot,Positive
4582,high-tech,Positive
4583,high-technology,Positive
4584,high-tensile,Positive
4587,hilarious,Positive
4588,hilarity,Positive
4590,hinder,Positive
4592,hindrance,Positive
4593,hinny,Positive
4594,hip,Positive
4595,hippocratic,Positive
4596,hipster,Positive
4598,hiss,Positive
4599,hissed,Positive
4600,hissing,Positive
4602,hitch,Positive
4603,hitched,Positive
4610,hoard,Positive
4612,hoax,Positive
4614,hobble,Positive
4615,hobby,Positive
4616,hobnob,Positive
4620,hoedown,Positive
4622,hogs,Positive
4623,ho-ho,Positive
4624,ho-hum,Positive
4625,hold,Positive
4627,hole-in-one,Positive
4629,holiness,Positive
4630,hollow,Positive
4631,holy,Positive
4633,homage,Positive
4634,home,Positive
4635,homely,Positive
4638,homie,Positive
4644,hone,Positive
4645,honest,Positive
4646,honestly,Positive
4647,honest-to-goodness,Positive
4648,honesty,Positive
4649,honey,Positive
4650,honeybun,Positive
4651,honeyed,Positive
4652,honeymoon,Positive
4653,honeypot,Positive
4655,hongi,Positive
4660,honora,Positive
4661,honorand,Positive
4662,honorary,Positive
4663,honoree,Positive
4664,honorific,Positive
4665,honoris-causa,Positive
4666,honour,Positive
4667,honourable,Positive
4668,honourable-mention,Positive
4669,honoured,Positive
4670,honouring,Positive
4671,honours-list,Positive
4673,hoodwink,Positive
4677,hooligan,Positive
4679,hooray,Positive
4682,hoot,Positive
4684,hootenanny,Positive
4687,hope,Positive
4688,hope-chest,Positive
4689,hopeful,Positive
4690,hopefully,Positive
4691,hopefulness,Positive
4692,hopeless,Positive
4693,hopelessly,Positive
4694,hopelessness,Positive
4695,horde,Positive
4701,horrendous,Positive
4702,horrendously,Positive
4703,horrible,Positive
4704,horrid,Positive
4705,horrific,Positive
4706,horrified,Positive
4707,horrifies,Positive
4708,horrify,Positive
4709,horrifying,Positive
4710,horse-sense,Positive
4712,hortative,Positive
4713,hosanna,Positive
4716,hospitable,Positive
4717,hospitality,Positive
4718,host,Positive
4720,hostile,Positive
4721,hostilities,Positive
4722,hostility,Positive
4723,hot,Positive
4726,hotbeds,Positive
4727,hot-blooded,Positive
4728,hotcake,Positive
4729,hotcakes,Positive
4731,hot-gospel,Positive
4732,hothead,Positive
4733,hotheaded,Positive
4734,hothouse,Positive
4737,hotshot,Positive
4738,hot-stuff,Positive
4739,hottest,Positive
4740,hot-ticket,Positive
4741,hottie,Positive
4743,house-warming,Positive
4744,how,Positive
4745,howdy,Positive
4746,howl,Positive
4747,howling,Positive
4748,hubba-hubba,Positive
4749,hubris,Positive
4750,huckster,Positive
4752,hug,Positive
4753,huge,Positive
4755,huggable,Positive
4763,hum,Positive
4764,human,Positive
4765,humane,Positive
4766,humanistic,Positive
4767,humanitarian,Positive
4768,human-rights,Positive
4769,humble,Positive
4770,humdinger,Positive
4771,humid,Positive
4772,humiliate,Positive
4773,humiliating,Positive
4774,humiliation,Positive
4775,humility,Positive
4777,humming,Positive
4778,humorous,Positive
4779,humorously,Positive
4780,humour,Positive
4782,hung,Positive
4783,hunky,Positive
4784,hunky-dory,Positive
4785,hurrah,Positive
4786,hurt,Positive
4787,hurtful,Positive
4788,hurting,Positive
4789,hurts,Positive
4790,hushaby,Positive
4791,hushabye,Positive
4801,huzza,Positive
4802,hybrid-vigour,Positive
4803,hygiene,Positive
4804,hygienic,Positive
4805,hygienist,Positive
4808,hype,Positive
4809,hyped,Positive
4810,hypersonic,Positive
4811,hypnotic,Positive
4812,hypocrisy,Positive
4813,hypocrite,Positive
4814,hypocrites,Positive
4815,hypocritical,Positive
4816,hypocritically,Positive
4817,hysteria,Positive
4818,hysteric,Positive
4819,hysterical,Positive
4820,hysterically,Positive
4821,hysterics,Positive
4823,icebreaker,Positive
4824,icky,Positive
4825,icon,Positive
4826,iconic,Positive
4827,iconize,Positive
4828,idea,Positive
4829,ideal,Positive
4830,ideality,Positive
4831,idealize,Positive
4832,ideally,Positive
4833,ideate,Positive
4835,idiocies,Positive
4836,idiocy,Positive
4838,idiotic,Positive
4839,idiotically,Positive
4840,idiots,Positive
4841,idle,Positive
4842,idol,Positive
4843,idolize,Positive
4844,idolized,Positive
4845,idyll,Positive
4846,idyllic,Positive
4847,iechyd,Positive
4848,ignoble,Positive
4849,ignominious,Positive
4850,ignominiously,Positive
4851,ignominy,Positive
4852,ignorance,Positive
4853,ignorant,Positive
4854,ignore,Positive
4855,igratiate,Positive
4857,ill,Positive
4858,ill-advised,Positive
4859,ill-conceived,Positive
4860,ill-defined,Positive
4861,ill-designed,Positive
4863,illegally,Positive
4864,illegitimate,Positive
4865,ill-fated,Positive
4866,ill-favored,Positive
4867,ill-formed,Positive
4868,illicit,Positive
4869,illimitable,Positive
4870,illiterate,Positive
4871,ill-mannered,Positive
4872,ill-natured,Positive
4873,illness,Positive
4874,illogical,Positive
4875,illogically,Positive
4876,ill-sorted,Positive
4877,ill-tempered,Positive
4878,ill-treated,Positive
4879,ill-treatment,Positive
4880,illume,Positive
4881,illuminant,Positive
4882,illuminate,Positive
4883,illuminating,Positive
4884,illumination,Positive
4885,illumine,Positive
4886,ill-usage,Positive
4887,ill-used,Positive
4888,illusion,Positive
4889,illusions,Positive
4890,illusory,Positive
4891,illustrate,Positive
4892,illustrative,Positive
4893,illustrious,Positive
4894,imaginary,Positive
4895,imaginative,Positive
4896,imaginings,Positive
4897,imbalance,Positive
4898,imbecile,Positive
4899,imbibe,Positive
4900,imbroglio,Positive
4901,imbue,Positive
4902,immaculate,Positive
4903,immaculately,Positive
4904,immaterial,Positive
4905,immature,Positive
4906,immense,Positive
4907,immerse,Positive
4908,imminence,Positive
4909,imminently,Positive
4910,immobilized,Positive
4911,immoderate,Positive
4912,immoderately,Positive
4913,immodest,Positive
4914,immoral,Positive
4915,immorality,Positive
4916,immorally,Positive
4917,immortal,Positive
4918,immortelle,Positive
4919,immovable,Positive
4920,immune,Positive
4921,immunity,Positive
4922,immunize,Positive
4923,immunotherapy,Positive
4924,impair,Positive
4925,impaired,Positive
4926,impart,Positive
4927,impartial,Positive
4928,impartiality,Positive
4929,impartially,Positive
4930,impasse,Positive
4931,impassible,Positive
4932,impassioned,Positive
4933,impatience,Positive
4934,impatient,Positive
4935,impatiently,Positive
4936,impeach,Positive
4937,impeccable,Positive
4938,impeccably,Positive
4939,impedance,Positive
4940,impede,Positive
4941,impediment,Positive
4942,impel,Positive
4943,impending,Positive
4944,impenitent,Positive
4945,imperfect,Positive
4946,imperfection,Positive
4947,imperfections,Positive
4948,imperfectly,Positive
4949,imperialist,Positive
4950,imperil,Positive
4951,imperious,Positive
4952,imperiously,Positive
4953,impermissible,Positive
4954,impersonal,Positive
4955,impertinent,Positive
4956,impetuous,Positive
4957,impetuously,Positive
4958,impiety,Positive
4959,impinge,Positive
4960,impious,Positive
4961,implacable,Positive
4962,implausible,Positive
4963,implausibly,Positive
4964,implicate,Positive
4965,implication,Positive
4966,implode,Positive
4967,impolite,Positive
4968,impolitely,Positive
4969,impolitic,Positive
4970,important,Positive
4971,importunate,Positive
4972,importune,Positive
4973,impose,Positive
4974,imposers,Positive
4975,imposing,Positive
4976,imposition,Positive
4977,impossible,Positive
4978,impossibleimpossibly,Positive
4979,impossibly,Positive
4980,impotent,Positive
4981,impoverish,Positive
4982,impoverished,Positive
4983,impractical,Positive
4984,imprecate,Positive
4985,imprecise,Positive
4986,imprecisely,Positive
4987,imprecision,Positive
4988,impress,Positive
4989,impressed,Positive
4990,impressive,Positive
4991,impressively,Positive
4992,impressiveness,Positive
4993,imprison,Positive
4994,imprisonment,Positive
4995,improbability,Positive
4996,improbable,Positive
4997,improbably,Positive
4998,improper,Positive
4999,improperly,Positive
5000,impropriety,Positive
5001,improve,Positive
5002,improved,Positive
5003,improvement,Positive
5004,improvements,Positive
5005,improving,Positive
5006,improvise,Positive
5007,imprudence,Positive
5008,imprudent,Positive
5009,impudence,Positive
5010,impudent,Positive
5011,impudently,Positive
5012,impugn,Positive
5013,impulsive,Positive
5014,impulsively,Positive
5015,impunity,Positive
5016,impure,Positive
5017,impurity,Positive
5018,in,Positive
5019,inability,Positive
5020,inaccuracies,Positive
5021,inaccuracy,Positive
5022,inaccurate,Positive
5023,inaccurately,Positive
5024,inaction,Positive
5025,inactive,Positive
5026,inadequacy,Positive
5027,inadequate,Positive
5028,inadequately,Positive
5029,inadvisable,Positive
5030,inamorato,Positive
5031,inane,Positive
5032,inanely,Positive
5033,inappropriate,Positive
5034,inappropriately,Positive
5035,inapt,Positive
5036,inarticulate,Positive
5037,inattentive,Positive
5038,inaudible,Positive
5040,incapable,Positive
5041,incapably,Positive
5042,incautious,Positive
5043,incendiary,Positive
5044,incense,Positive
5045,incentive,Positive
5046,incept,Positive
5047,incessant,Positive
5048,incessantly,Positive
5050,incisive,Positive
5051,incite,Positive
5052,incitement,Positive
5053,incivility,Positive
5054,inclement,Positive
5055,include,Positive
5056,inclusion,Positive
5057,inclusive,Positive
5058,incoherence,Positive
5059,incoherent,Positive
5060,incoherently,Positive
5061,income,Positive
5062,incommensurate,Positive
5063,incomparable,Positive
5064,incomparably,Positive
5065,incompatibility,Positive
5066,incompatible,Positive
5067,incompetence,Positive
5068,incompetent,Positive
5069,incompetently,Positive
5070,incomplete,Positive
5071,incomprehensible,Positive
5072,incomprehension,Positive
5073,inconceivable,Positive
5074,inconceivably,Positive
5075,incongruous,Positive
5076,incongruously,Positive
5077,inconsequential,Positive
5078,inconsequentially,Positive
5079,inconsiderate,Positive
5080,inconsiderately,Positive
5081,inconsistencies,Positive
5082,inconsistency,Positive
5083,inconsistent,Positive
5084,inconsolable,Positive
5085,inconsolably,Positive
5086,inconstant,Positive
5087,inconvenience,Positive
5088,inconveniently,Positive
5089,incorrect,Positive
5090,incorrectly,Positive
5091,incorrigible,Positive
5092,incorrigibly,Positive
5093,increase,Positive
5094,incredible,Positive
5095,incredibly,Positive
5096,incredulous,Positive
5097,incredulously,Positive
5098,in-crowd,Positive
5099,inculcate,Positive
5100,indebted,Positive
5101,indecency,Positive
5102,indecent,Positive
5103,indecently,Positive
5104,indecision,Positive
5105,indecisive,Positive
5106,indecisively,Positive
5107,indeed,Positive
5108,indefensible,Positive
5109,indelicate,Positive
5110,in-depth,Positive
5111,indestructible,Positive
5112,indeterminable,Positive
5113,indeterminably,Positive
5114,indeterminate,Positive
5115,indifference,Positive
5116,indifferent,Positive
5117,indigent,Positive
5118,indignant,Positive
5119,indignantly,Positive
5120,indignation,Positive
5121,indignity,Positive
5122,indiscernible,Positive
5123,indiscreet,Positive
5124,indiscreetly,Positive
5125,indiscretion,Positive
5126,indiscriminate,Positive
5127,indiscriminately,Positive
5128,indistinguishable,Positive
5129,individual,Positive
5130,individualism,Positive
5131,individuality,Positive
5132,individualize,Positive
5133,indoctrinate,Positive
5134,indoctrination,Positive
5135,indolent,Positive
5136,indomitable,Positive
5137,indulge,Positive
5138,indulgence,Positive
5139,indulgent,Positive
5140,industrial-strength,Positive
5141,industrious,Positive
5142,ineffective,Positive
5143,ineffectively,Positive
5144,ineffectiveness,Positive
5145,ineffectual,Positive
5146,ineffectually,Positive
5147,inefficacy,Positive
5148,inefficiency,Positive
5149,inefficient,Positive
5150,inefficiently,Positive
5151,inelegance,Positive
5152,inelegant,Positive
5153,ineligible,Positive
5154,ineligibleinept,Positive
5155,inept,Positive
5156,ineptitude,Positive
5157,ineptly,Positive
5158,inequalities,Positive
5159,inequality,Positive
5160,inequitable,Positive
5161,inequitably,Positive
5162,inequities,Positive
5163,inescapable,Positive
5164,inescapably,Positive
5165,inessential,Positive
5166,inestimable,Positive
5167,inevitable,Positive
5168,inevitably,Positive
5169,inexcusable,Positive
5170,inexcusably,Positive
5171,inexorable,Positive
5172,inexorably,Positive
5173,inexpensive,Positive
5174,inexpensively,Positive
5175,inexperience,Positive
5176,inexperienced,Positive
5177,inexpert,Positive
5178,inexpertly,Positive
5179,inexpiable,Positive
5180,inextricable,Positive
5181,inextricably,Positive
5182,infallibility,Positive
5183,infallible,Positive
5184,infallibly,Positive
5185,infamous,Positive
5186,infamously,Positive
5187,infamy,Positive
5188,infatuate,Positive
5189,infatuated,Positive
5190,infected,Positive
5191,infection,Positive
5192,infections,Positive
5193,infectious,Positive
5194,inferior,Positive
5195,inferiority,Positive
5196,infernal,Positive
5197,infest,Positive
5198,infested,Positive
5199,infidel,Positive
5200,infidels,Positive
5201,infiltrator,Positive
5202,infiltrators,Positive
5203,infinite,Positive
5204,infinitely,Positive
5205,infinity,Positive
5206,infirm,Positive
5207,inflame,Positive
5208,inflammation,Positive
5209,inflammatory,Positive
5210,inflated,Positive
5211,inflationary,Positive
5212,inflexible,Positive
5213,inflict,Positive
5214,influential,Positive
5215,inform,Positive
5216,informal,Positive
5217,informative,Positive
5218,informatory,Positive
5219,informed,Positive
5220,infotainment,Positive
5221,infraction,Positive
5222,infrangible,Positive
5223,infringe,Positive
5224,infringement,Positive
5225,infringements,Positive
5226,infuriate,Positive
5227,infuriated,Positive
5228,infuriating,Positive
5229,infuriatingly,Positive
5230,infuse,Positive
5231,infusion,Positive
5232,ingenious,Positive
5233,ingeniously,Positive
5234,ingenuity,Positive
5235,ingenuous,Positive
5236,ingenuously,Positive
5237,inglorious,Positive
5238,ingrate,Positive
5239,ingratiating,Positive
5240,ingratiatingly,Positive
5241,ingratiation,Positive
5242,ingratitude,Positive
5243,in-group,Positive
5244,inherit,Positive
5245,inhibit,Positive
5246,inhibition,Positive
5247,inhospitable,Positive
5248,inhospitableinhuman,Positive
5249,inhuman,Positive
5250,inhumane,Positive
5251,inhumanity,Positive
5252,inimical,Positive
5253,inimically,Positive
5254,iniquitous,Positive
5255,iniquity,Positive
5256,initiate,Positive
5257,initiative,Positive
5258,injudicious,Positive
5260,injure,Positive
5261,injureinjurious,Positive
5262,injurious,Positive
5263,injury,Positive
5264,injustice,Positive
5265,injustices,Positive
5266,innocent,Positive
5267,innocuous,Positive
5268,innovate,Positive
5269,innovation,Positive
5270,innovative,Positive
5271,innuendo,Positive
5272,inoperable,Positive
5273,inopportune,Positive
5274,inordinate,Positive
5275,inordinately,Positive
5276,input,Positive
5277,inquisitive,Positive
5278,insane,Positive
5279,insanely,Positive
5280,insanity,Positive
5281,insatiable,Positive
5282,insecure,Positive
5283,insecurity,Positive
5284,insensible,Positive
5285,insensitive,Positive
5286,insensitively,Positive
5287,insensitivity,Positive
5289,insidious,Positive
5290,insidiously,Positive
5291,insight,Positive
5292,insightful,Positive
5293,insightfully,Positive
5294,insignificance,Positive
5295,insignificant,Positive
5296,insignificantly,Positive
5297,insincere,Positive
5298,insincerely,Positive
5299,insincerity,Positive
5300,insinuate,Positive
5301,insinuating,Positive
5302,insinuation,Positive
5303,insipid,Positive
5304,insolence,Positive
5305,insolent,Positive
5306,insolently,Positive
5307,insolvent,Positive
5308,insouciance,Positive
5309,inspiration,Positive
5310,inspirational,Positive
5311,inspire,Positive
5312,inspired,Positive
5313,inspiring,Positive
5314,inspirit,Positive
5315,instability,Positive
5316,instigate,Positive
5317,instigator,Positive
5318,instigators,Positive
5319,instructive,Positive
5320,instrumental,Positive
5321,insubordinate,Positive
5322,insubstantial,Positive
5323,insubstantially,Positive
5324,insufferable,Positive
5325,insufferably,Positive
5326,insufficiency,Positive
5327,insufficient,Positive
5328,insufficiently,Positive
5329,insular,Positive
5330,insulate,Positive
5331,insult,Positive
5332,insulted,Positive
5333,insulting,Positive
5334,insultingly,Positive
5335,insults,Positive
5336,insupportable,Positive
5337,insurmountable,Positive
5338,insurmountably,Positive
5339,insurrection,Positive
5340,integral,Positive
5341,integrate,Positive
5342,integrated,Positive
5343,integrity,Positive
5344,intellect,Positive
5345,intellection,Positive
5346,intellectual,Positive
5347,intelligence,Positive
5348,intelligent,Positive
5349,intelligentsia,Positive
5350,intelligible,Positive
5351,intense,Positive
5352,intercede,Positive
5354,interest,Positive
5355,interested,Positive
5356,interest-free,Positive
5357,interesting,Positive
5358,interests,Positive
5359,interfere,Positive
5360,interference,Positive
5361,interferes,Positive
5362,intergrow,Positive
5363,interlude,Positive
5364,intermittent,Positive
5366,interrupt,Positive
5367,interruption,Positive
5368,interruptions,Positive
5371,intimacy,Positive
5372,intimate,Positive
5373,intimidate,Positive
5374,intimidating,Positive
5375,intimidatingly,Positive
5376,intimidation,Positive
5377,intolerable,Positive
5378,intolerance,Positive
5379,intoxicate,Positive
5380,intractable,Positive
5381,intransigence,Positive
5382,intransigent,Positive
5383,intrepid,Positive
5384,intricacy,Positive
5385,intricate,Positive
5386,intrigue,Positive
5387,intriguing,Positive
5388,intriguingly,Positive
5389,intrude,Positive
5390,intrusion,Positive
5391,intrusive,Positive
5392,intuition,Positive
5393,intuitive,Positive
5394,inundate,Positive
5395,inundated,Positive
5396,invader,Positive
5397,invalid,Positive
5398,invalidate,Positive
5399,invalidity,Positive
5400,invaluable,Positive
5401,invaluably,Positive
5402,invasive,Positive
5403,invective,Positive
5404,inveigle,Positive
5405,invent,Positive
5406,invention,Positive
5407,inventive,Positive
5408,invest,Positive
5409,invidious,Positive
5410,invidiously,Positive
5411,invidiousness,Positive
5412,invigorate,Positive
5413,invigorating,Positive
5414,invincibility,Positive
5415,invincible,Positive
5416,inviolable,Positive
5417,inviolate,Positive
5418,invisible,Positive
5419,invitation,Positive
5420,invite,Positive
5421,inviting,Positive
5422,invocation,Positive
5423,involuntarily,Positive
5424,involuntary,Positive
5425,invulnerable,Positive
5426,irascible,Positive
5427,irate,Positive
5428,irately,Positive
5429,ire,Positive
5430,irenic,Positive
5431,irie,Positive
5432,irk,Positive
5433,irked,Positive
5434,irking,Positive
5435,irks,Positive
5436,irksome,Positive
5437,irksomely,Positive
5438,irksomeness,Positive
5439,ironclad,Positive
5440,ironic,Positive
5441,ironical,Positive
5442,ironically,Positive
5443,ironies,Positive
5444,irony,Positive
5445,irradiant,Positive
5446,irrational,Positive
5447,irrationality,Positive
5448,irrationally,Positive
5449,irrationals,Positive
5450,irreconcilable,Positive
5451,irrecoverable,Positive
5452,irrecoverably,Positive
5453,irredeemable,Positive
5454,irredeemably,Positive
5455,irregular,Positive
5456,irregularity,Positive
5457,irrelevance,Positive
5458,irrelevant,Positive
5459,irreparable,Positive
5460,irreplaceable,Positive
5461,irrepressible,Positive
5462,irreproachable,Positive
5463,irresistible,Positive
5464,irresistibly,Positive
5465,irresolute,Positive
5466,irresoluteirresponsible,Positive
5467,irresponsible,Positive
5468,irresponsibly,Positive
5469,irresponsiblyirretrievable,Positive
5470,irretrievable,Positive
5471,irreversible,Positive
5472,irritable,Positive
5473,irritably,Positive
5474,irritant,Positive
5475,irritate,Positive
5476,irritated,Positive
5477,irritating,Positive
5478,irritation,Positive
5479,irritations,Positive
5480,isolate,Positive
5481,isolated,Positive
5482,isolation,Positive
5483,isotonic,Positive
5488,issue,Positive
5489,issue-free,Positive
5490,issues,Positive
5493,itching,Positive
5494,itchy,Positive
5495,izzat,Positive
5497,jabber,Positive
5506,jaded,Positive
5507,jagged,Positive
5510,jam,Positive
5514,jarring,Positive
5515,jaundiced,Positive
5516,jealous,Positive
5517,jealously,Positive
5518,jealousness,Positive
5519,jealousy,Positive
5521,jeer,Positive
5522,jeering,Positive
5523,jeeringly,Positive
5524,jeers,Positive
5527,jeopardize,Positive
5528,jeopardy,Positive
5533,jerky,Positive
5534,jest,Positive
5556,jitter,Positive
5557,jitters,Positive
5558,jittery,Positive
5567,job-killing,Positive
5568,jobless,Positive
5570,joke,Positive
5571,joker,Positive
5572,jolly,Positive
5573,jolt,Positive
5574,jovial,Positive
5575,joy,Positive
5576,joyful,Positive
5577,joyous,Positive
5578,jubilant,Positive
5579,jubilation,Positive
5580,judder,Positive
5581,juddering,Positive
5582,judders,Positive
5586,juicy,Positive
5587,jumpy,Positive
5589,junk,Positive
5592,junkyard,Positive
5593,just,Positive
5598,kahuna,Positive
5599,kairos,Positive
5600,kaizen,Positive
5617,keen,Positive
5618,keenly,Positive
5619,keenness,Positive
5620,keeper,Positive
5621,keep-fit,Positive
5622,keep-up,Positive
5623,kempt,Positive
5624,kermis,Positive
5625,kia,Positive
5626,kick,Positive
5627,kick-ass,Positive
5628,kicking,Positive
5629,kicky,Positive
5631,kid-friendly,Positive
5635,killed,Positive
5637,killing,Positive
5638,killjoy,Positive
5639,kills,Positive
5643,kind,Positive
5644,kind-hearted,Positive
5645,kindliness,Positive
5646,kindly,Positive
5647,kindness,Positive
5648,kindred,Positive
5649,kindred-spirit,Positive
5650,kingly,Positive
5651,king-of-kings,Positive
5652,kingpin,Positive
5653,king-sized,Positive
5658,kinship,Positive
5659,kiss,Positive
5660,kissable,Positive
5662,kissogram,Positive
5665,klondike,Positive
5667,knack,Positive
5668,knave,Positive
5669,knee-slapper,Positive
5670,knees-up,Positive
5672,knight,Positive
